pincode,state,district,district_tamil,taluk,taluk_count,district_ambiguous,post_office,lat,lon
622402,TN,Pudukkottai,புதுக்கோட்டை,Ponnamaravathi,2,no,Kulipirai S.O,10.3300,78.6400
622403,TN,Pudukkottai,புதுக்கோட்டை,Ponnamaravathi,1,yes,Melasivapuri S.O,10.2400,78.4900
622404,TN,Pudukkottai,புதுக்கோட்டை,Thirumayam,1,no,Nachandupatti S.O,10.3300,78.7200
622407,TN,Pudukkottai,புதுக்கோட்டை,Ponnamaravathi,1,no,Ponnamaravathy S.O,10.2600,78.5600
622409,TN,Pudukkottai,புதுக்கோட்டை,Thirumayam,1,no,Rangiem S.O,10.2500,78.6800
622411,TN,Pudukkottai,புதுக்கோட்டை,Ponnamaravathi,2,no,Valayapatti S.O (Pudukkottai),10.2800,78.5300
622412,TN,Pudukkottai,புதுக்கோட்டை,Thirumayam,3,yes,Virachilai S.O,9.7200,78.9100
622422,TN,Pudukkottai,புதுக்கோட்டை,Thirumayam,1,no,Sivapuram S.O,10.3200,78.7900
622501,TN,Pudukkottai,புதுக்கோட்டை,Pudukkottai,3,no,Cauvery Nagar S.O,10.4700,78.8400
622502,TN,Pudukkottai,புதுக்கோட்டை,Kulathur,3,no,Keeranur S.O,10.6000,78.7600
622503,TN,Pudukkottai,புதுக்கோட்டை,Thirumayam,1,no,Konapet S.O,10.1800,78.7500
622504,TN,Pudukkottai,புதுக்கோட்டை,Kulathur,4,yes,Kulathur S.O (Pudukkottai),10.5500,78.7900
622505,TN,Pudukkottai,புதுக்கோட்டை,Thirumayam,1,no,Ramachandrapuram S.O (Pudukkottai),10.2400,78.7800
622506,TN,Pudukkottai,புதுக்கோட்டை,Thirumayam,1,no,Rayavaram S.O (Pudukkottai),10.2400,78.8400
622507,TN,Pudukkottai,புதுக்கோட்டை,Thirumayam,1,no,Tirumayam S.O,10.2900,78.7900
622515,TN,Pudukkottai,புதுக்கோட்டை,Kulathur,3,yes,Mathur Ind. Estate S.O,10.6400,78.7300
623115,TN,Ramanathapuram,இராமநாதபுரம்,Kamuthi,2,no,Perunali So,9.2900,78.3600
623120,TN,Ramanathapuram,இராமநாதபுரம்,Kadaladi,1,no,Sayalgudi So,9.2100,78.4400
623135,TN,Ramanathapuram,இராமநாதபுரம்,Kadaladi,1,no,Kannirajapuram So,9.1600,78.3700
623308,TN,Ramanathapuram,இராமநாதபுரம்,Tiruvadanai,1,no,Mangalakudi So,9.8650,78.9587
623315,TN,Ramanathapuram,இராமநாதபுரம்,Tiruvadanai,1,no,Vellayapuram So,9.8500,79.0000
623401,TN,Ramanathapuram,இராமநாதபுரம்,Rajasingamangalam,2,yes,Anandur So,9.7600,78.7600
623402,TN,Ramanathapuram,இராமநாதபுரம்,Devakottai,2,yes,Chinnakeeramangalam So,9.7300,78.8300
623403,TN,Ramanathapuram,இராமநாதபுரம்,Tiruvadanai,1,no,Nambuthalai So,9.9700,79.0100
623404,TN,Ramanathapuram,இராமநாதபுரம்,Tiruvadanai,1,no,Pandugudi So,9.8200,78.9900
623406,TN,Ramanathapuram,இராமநாதபுரம்,Tiruvadanai,1,no,Sundarapandiapattinam So,9.8500,79.0500
623407,TN,Ramanathapuram,இராமநாதபுரம்,Tiruvadanai,2,no,Tiruvadanai So,9.7700,78.9600
623409,TN,Ramanathapuram,இராமநாதபுரம்,Tiruvadanai,1,no,Tondi So,9.8200,79.0800
623501,TN,Ramanathapuram,இராமநாதபுரம்,,0,no,Ramanathapuram Ho,9.3601,78.8616
623502,TN,Ramanathapuram,இராமநாதபுரம்,Ramanathapuram,2,no,Achunthanvayal So,9.3695,78.7987
623503,TN,Ramanathapuram,இராமநாதபுரம்,Ramanathapuram,1,no,Ramanathapuram Collectorate So,9.3600,78.8700
623504,TN,Ramanathapuram,இராமநாதபுரம்,Ramanathapuram,1,no,Velipattanam So,9.3900,78.8500
623512,TN,Ramanathapuram,இராமநாதபுரம்,Ramanathapuram,1,no,Alagankulam So,9.3600,78.9700
623513,TN,Ramanathapuram,இராமநாதபுரம்,Ramanathapuram,1,no,Chitharkottai So,9.2700,78.4800
623514,TN,Ramanathapuram,இராமநாதபுரம்,Ramanathapuram,1,no,Devipattinam So,9.4700,78.8900
623515,TN,Ramanathapuram,இராமநாதபுரம்,Kilakarai,1,no,Ervadi So,9.2400,78.7400
623516,TN,Ramanathapuram,இராமநாதபுரம்,Ramanathapuram,1,no,Irumeni So,9.3000,79.0200
623517,TN,Ramanathapuram,இராமநாதபுரம்,Kilakarai,1,no,Kilakarai So,9.2600,78.8100
623518,TN,Ramanathapuram,இராமநாதபுரம்,Ramanathapuram,1,no,Mandapam So,9.2817,79.1506
623519,TN,Ramanathapuram,இராமநாதபுரம்,,0,no,Mandapam Camp So,9.2700,79.1000
623520,TN,Ramanathapuram,இராமநாதபுரம்,,0,no,Marine Fisheries So,9.2756,79.1307
623521,TN,Ramanathapuram,இராமநாதபுரம்,Rameswaram,1,no,Pamban So,9.2900,79.2200
623522,TN,Ramanathapuram,இராமநாதபுரம்,Ramanathapuram,1,no,Panaikulam So,9.3688,78.9507
623523,TN,Ramanathapuram,இராமநாதபுரம்,Kilakarai,2,no,Periyapattinam So,9.3100,78.9500
623524,TN,Ramanathapuram,இராமநாதபுரம்,Ramanathapuram,1,no,Pudumadam So,9.3000,78.9600
623525,TN,Ramanathapuram,இராமநாதபுரம்,Rajasingamangalam,2,no,Rajasingamangalam So,9.5600,78.8100
623526,TN,Ramanathapuram,இராமநாதபுரம்,Rameswaram,1,no,Rameswaram So,12.1668,77.1066
623527,TN,Ramanathapuram,இராமநாதபுரம்,Paramakudi,2,no,Chathirakudi So,9.4600,78.7600
623528,TN,Ramanathapuram,இராமநாதபுரம்,Kadaladi,1,no,Sikkal So Ramanathapuram,9.2100,78.6100
623529,TN,Ramanathapuram,இராமநாதபுரம்,,0,no,Thangachimadam So,9.3000,79.2800
623530,TN,Ramanathapuram,இராமநாதபுரம்,Ramanathapuram,2,no,Toruvalur So,9.5000,78.7700
623531,TN,Ramanathapuram,இராமநாதபுரம்,Rajasingamangalam,2,no,Tirupalaikudi So,9.5700,78.8800
623532,TN,Ramanathapuram,இராமநாதபுரம்,Ramanathapuram,2,no,Thiruppullani So,9.3100,78.8700
